Far field
"Phi"[deg]	"Horizon [m^2]"	
2.24000000E+02	1.61430279E+00	
2.25000000E+02	1.61019122E+00	
2.26000000E+02	1.60603087E+00	
2.27000000E+02	1.60182667E+00	
2.28000000E+02	1.59758386E+00	
2.29000000E+02	1.59330805E+00	
2.30000000E+02	1.58900517E+00	
2.31000000E+02	1.58468148E+00	
2.32000000E+02	1.58034353E+00	
2.33000000E+02	1.57599821E+00	
2.34000000E+02	1.57165267E+00	
2.35000000E+02	1.56731430E+00	
2.36000000E+02	1.56299076E+00	
2.37000000E+02	1.55868989E+00	
2.38000000E+02	1.55441971E+00	
2.39000000E+02	1.55018841E+00	
2.40000000E+02	1.54600427E+00	
2.41000000E+02	1.54187563E+00	
2.42000000E+02	1.53781090E+00	
2.43000000E+02	1.53381846E+00	
2.44000000E+02	1.52990666E+00	
2.45000000E+02	1.52608376E+00	
2.46000000E+02	1.52235790E+00	
2.47000000E+02	1.51873705E+00	
2.48000000E+02	1.51522897E+00	
2.49000000E+02	1.51184118E+00	
2.50000000E+02	1.50858092E+00	
2.51000000E+02	1.50545509E+00	
2.52000000E+02	1.50247025E+00	
2.53000000E+02	1.49963257E+00	
2.54000000E+02	1.49694780E+00	
2.55000000E+02	1.49442124E+00	
2.56000000E+02	1.49205773E+00	
2.57000000E+02	1.48986160E+00	
2.58000000E+02	1.48783669E+00	
2.59000000E+02	1.48598632E+00	
2.60000000E+02	1.48431326E+00	
2.61000000E+02	1.48281975E+00	
2.62000000E+02	1.48150751E+00	
2.63000000E+02	1.48037770E+00	
2.64000000E+02	1.47943093E+00	
2.65000000E+02	1.47866733E+00	
2.66000000E+02	1.47808647E+00	
2.67000000E+02	1.47768746E+00	
2.68000000E+02	1.47746890E+00	
2.69000000E+02	1.47742897E+00	
2.70000000E+02	1.47756537E+00	
2.71000000E+02	1.47787544E+00	
2.72000000E+02	1.47835612E+00	
2.73000000E+02	1.47900401E+00	
2.74000000E+02	1.47981539E+00	
2.75000000E+02	1.48078629E+00	
2.76000000E+02	1.48191245E+00	
2.77000000E+02	1.48318944E+00	
2.78000000E+02	1.48461263E+00	
2.79000000E+02	1.48617726E+00	
2.80000000E+02	1.48787845E+00	
2.81000000E+02	1.48971127E+00	
2.82000000E+02	1.49167072E+00	
2.83000000E+02	1.49375181E+00	
2.84000000E+02	1.49594955E+00	
2.85000000E+02	1.49825900E+00	
2.86000000E+02	1.50067527E+00	
2.87000000E+02	1.50319356E+00	
2.88000000E+02	1.50580920E+00	
2.89000000E+02	1.50851761E+00	
2.90000000E+02	1.51131435E+00	
2.91000000E+02	1.51419512E+00	
2.92000000E+02	1.51715579E+00	
2.93000000E+02	1.52019235E+00	
2.94000000E+02	1.52330098E+00	
2.95000000E+02	1.52647798E+00	
2.96000000E+02	1.52971983E+00	
2.97000000E+02	1.53302315E+00	
2.98000000E+02	1.53638466E+00	
2.99000000E+02	1.53980126E+00	
3.00000000E+02	1.54326992E+00	
3.01000000E+02	1.54678773E+00	
3.02000000E+02	1.55035185E+00	
3.03000000E+02	1.55395952E+00	
